artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mangli,"Bhoom Bhaddhal (From ""Krack"")",0.508,0.983,2,-3.576,1,0.245,0.538,2.97e-05,0.0695,0.589,79.927,audio_features,6pM9FJtp8Bc3bEacpqbcCH,spotify:track:6pM9FJtp8Bc3bEacpqbcCH,https://api.spotify.com/v1/tracks/6pM9FJtp8Bc3bEacpqbcCH,https://api.spotify.com/v1/audio-analysis/6pM9FJtp8Bc3bEacpqbcCH,262090,4
Shreya Ghoshal,Blockbuster,0.771,0.917,8,-7.103,1,0.0979,0.772,0.0447,0.204,0.696,82.002,audio_features,37S2kL71k5LOmGxzJ7JLzE,spotify:track:37S2kL71k5LOmGxzJ7JLzE,https://api.spotify.com/v1/tracks/37S2kL71k5LOmGxzJ7JLzE,https://api.spotify.com/v1/audio-analysis/37S2kL71k5LOmGxzJ7JLzE,304988,4
"Devi Sri Prasad, Shravana Bhargavi, Magizhini Manimaran",Super Machi,0.759,0.948,7,-4.313,1,0.098,0.431,0.0334,0.0288,0.914,97.906,audio_features,3WTHnUPLqVZXSw54PFLtiL,spotify:track:3WTHnUPLqVZXSw54PFLtiL,https://api.spotify.com/v1/tracks/3WTHnUPLqVZXSw54PFLtiL,https://api.spotify.com/v1/audio-analysis/3WTHnUPLqVZXSw54PFLtiL,278189,4
Yuvan Shankar Raja,Rowdy Baby,0.668,0.703,10,-8.192,0,0.199,0.281,0.0029,0.159,0.588,176.889,audio_features,0Tm5ER6IrGfmW0yZ5lkQli,spotify:track:0Tm5ER6IrGfmW0yZ5lkQli,https://api.spotify.com/v1/tracks/0Tm5ER6IrGfmW0yZ5lkQli,https://api.spotify.com/v1/audio-analysis/0Tm5ER6IrGfmW0yZ5lkQli,281440,3
Dhanunjay Seepana,Whattey Beauty - Telugu,0.908,0.895,2,-3.161,1,0.0826,0.317,5.15e-05,0.142,0.794,120.776,audio_features,3KUD3u6xFEIewEQVppwXbH,spotify:track:3KUD3u6xFEIewEQVppwXbH,https://api.spotify.com/v1/tracks/3KUD3u6xFEIewEQVppwXbH,https://api.spotify.com/v1/audio-analysis/3KUD3u6xFEIewEQVppwXbH,234783,3
M.C. Vickey,Private Party,0.715,0.935,8,-5.656,0,0.0384,0.559,0.00344,0.138,0.904,127.993,audio_features,55lcV76gPJUqAnHj3Z9xRd,spotify:track:55lcV76gPJUqAnHj3Z9xRd,https://api.spotify.com/v1/tracks/55lcV76gPJUqAnHj3Z9xRd,https://api.spotify.com/v1/audio-analysis/55lcV76gPJUqAnHj3Z9xRd,263440,4
Yash Narvekar,"Muqabla (From ""Street Dancer 3D"") [Telugu]",0.821,0.907,0,-3.067,1,0.104,0.0207,2.31e-05,0.364,0.486,120.061,audio_features,5LWtYEKVLEpk4FBdGhZKxy,spotify:track:5LWtYEKVLEpk4FBdGhZKxy,https://api.spotify.com/v1/tracks/5LWtYEKVLEpk4FBdGhZKxy,https://api.spotify.com/v1/audio-analysis/5LWtYEKVLEpk4FBdGhZKxy,176477,4
Dsp,Ek Baar,0.794,0.93,2,-4.3,1,0.25,0.589,9.61e-05,0.0776,0.704,139.922,audio_features,7KWksSySkwqGS3vo59yygt,spotify:track:7KWksSySkwqGS3vo59yygt,https://api.spotify.com/v1/tracks/7KWksSySkwqGS3vo59yygt,https://api.spotify.com/v1/audio-analysis/7KWksSySkwqGS3vo59yygt,259952,4
Anirudh Ravichander,Chitike,0.652,0.922,8,-3.145,0,0.315,0.514,4.23e-06,0.041,0.656,159.378,audio_features,3vrcXIv9dclJYfpo5JshOp,spotify:track:3vrcXIv9dclJYfpo5JshOp,https://api.spotify.com/v1/tracks/3vrcXIv9dclJYfpo5JshOp,https://api.spotify.com/v1/audio-analysis/3vrcXIv9dclJYfpo5JshOp,240000,3
Geetha Madhuri,"Pakka Local (From ""Janatha Garage"")",0.54,0.955,1,-3.241,1,0.219,0.293,0.0107,0.127,0.81,93.0,audio_features,3NWBLY8mOYbE1Ebo31cTIx,spotify:track:3NWBLY8mOYbE1Ebo31cTIx,https://api.spotify.com/v1/tracks/3NWBLY8mOYbE1Ebo31cTIx,https://api.spotify.com/v1/audio-analysis/3NWBLY8mOYbE1Ebo31cTIx,259330,4
Mickey J. Meyer,"Jarra Jarra (From ""Valmiki"")",0.897,0.73,10,-9.589,0,0.111,0.258,4.32e-05,0.152,0.85,119.981,audio_features,1wVHlN2inEmT6f38MunqFi,spotify:track:1wVHlN2inEmT6f38MunqFi,https://api.spotify.com/v1/tracks/1wVHlN2inEmT6f38MunqFi,https://api.spotify.com/v1/audio-analysis/1wVHlN2inEmT6f38MunqFi,181856,4
Anirudh Ravichander,"Massu Maranam - From ""Petta (Telugu)""",0.468,0.866,10,-5.857,0,0.384,0.415,2.15e-06,0.652,0.732,83.787,audio_features,1Nh7gea2bnOt9i3HQI1JCB,spotify:track:1Nh7gea2bnOt9i3HQI1JCB,https://api.spotify.com/v1/tracks/1Nh7gea2bnOt9i3HQI1JCB,https://api.spotify.com/v1/audio-analysis/1Nh7gea2bnOt9i3HQI1JCB,216000,4
Rahul Sipligunj,"Glassmates (From ""Chitralahari"")",0.62,0.835,1,-3.283,1,0.264,0.405,0,0.052,0.802,76.203,audio_features,1u2S1xH9SvvrxedWMTZ79G,spotify:track:1u2S1xH9SvvrxedWMTZ79G,https://api.spotify.com/v1/tracks/1u2S1xH9SvvrxedWMTZ79G,https://api.spotify.com/v1/audio-analysis/1u2S1xH9SvvrxedWMTZ79G,214553,4
Roll Rida,OMG Daddy - Telugu,0.83,0.61,1,-6.293,0,0.0555,0.252,1.27e-05,0.115,0.608,96.011,audio_features,0P8TCqG9wsZPUnvxqLNZ5k,spotify:track:0P8TCqG9wsZPUnvxqLNZ5k,https://api.spotify.com/v1/tracks/0P8TCqG9wsZPUnvxqLNZ5k,https://api.spotify.com/v1/audio-analysis/0P8TCqG9wsZPUnvxqLNZ5k,228125,4
Simha Yadgiri,Cinema Choopistha Mama,0.671,0.896,0,-9.422,1,0.513,0.744,1.86e-06,0.0978,0.758,185.91,audio_features,4HTDl31KMbRxWrH778ffvV,spotify:track:4HTDl31KMbRxWrH778ffvV,https://api.spotify.com/v1/tracks/4HTDl31KMbRxWrH778ffvV,https://api.spotify.com/v1/audio-analysis/4HTDl31KMbRxWrH778ffvV,270064,4
Rahul Sipligunj,Pedda Puli,0.767,0.864,6,-5.591,1,0.145,0.225,1.48e-05,0.141,0.679,140.062,audio_features,4PYJiAIsR6JlgGZbhXPPK1,spotify:track:4PYJiAIsR6JlgGZbhXPPK1,https://api.spotify.com/v1/tracks/4PYJiAIsR6JlgGZbhXPPK1,https://api.spotify.com/v1/audio-analysis/4PYJiAIsR6JlgGZbhXPPK1,231857,4
Jaspreet Jasz,Seeti Maar,0.794,0.894,10,-2.476,0,0.0411,0.00364,0.0113,0.139,0.547,124.97,audio_features,5VayHAvzwBx4i87c1twFjS,spotify:track:5VayHAvzwBx4i87c1twFjS,https://api.spotify.com/v1/tracks/5VayHAvzwBx4i87c1twFjS,https://api.spotify.com/v1/audio-analysis/5VayHAvzwBx4i87c1twFjS,250680,4
Blaaze,"Mind Block (From ""Sarileru Neekevvaru"")",0.922,0.921,7,-5.026,1,0.216,0.645,0.00536,0.0972,0.73,101.986,audio_features,15tCasit297c9SsbU3R95d,spotify:track:15tCasit297c9SsbU3R95d,https://api.spotify.com/v1/tracks/15tCasit297c9SsbU3R95d,https://api.spotify.com/v1/audio-analysis/15tCasit297c9SsbU3R95d,264824,4
Nakash Aziz,"Daang Daang (From ""Sarileru Neekevvaru"")",0.831,0.819,4,-3.945,0,0.188,0.459,0.000138,0.69,0.801,137.946,audio_features,3qhq4cn3We0CXDIi44ckHa,spotify:track:3qhq4cn3We0CXDIi44ckHa,https://api.spotify.com/v1/tracks/3qhq4cn3We0CXDIi44ckHa,https://api.spotify.com/v1/audio-analysis/3qhq4cn3We0CXDIi44ckHa,254619,4
Penchal Das,Dhaari Choodu,0.631,0.941,3,-4.162,0,0.278,0.397,0,0.0312,0.88,79.946,audio_features,3BBI3rftKYwZAuuIa1Z9fY,spotify:track:3BBI3rftKYwZAuuIa1Z9fY,https://api.spotify.com/v1/tracks/3BBI3rftKYwZAuuIa1Z9fY,https://api.spotify.com/v1/audio-analysis/3BBI3rftKYwZAuuIa1Z9fY,188684,4
"Rahul Sipligunj, Mohana Bhogaraju",Iraga Iraga,0.48,0.988,2,-6.015,1,0.17,0.43,0.0145,0.18,0.27,168.089,audio_features,5o5MuoOU2QHVVyWJdkTXGK,spotify:track:5o5MuoOU2QHVVyWJdkTXGK,https://api.spotify.com/v1/tracks/5o5MuoOU2QHVVyWJdkTXGK,https://api.spotify.com/v1/audio-analysis/5o5MuoOU2QHVVyWJdkTXGK,240000,4
Devi Sri Prasad,"Ammadu Let's Do Kummudu (From ""Khaidi No 150"")",0.537,0.952,9,-4.92,1,0.101,0.0917,0.0526,0.066,0.773,95.017,audio_features,3HH5xuxWEKrEIRwWrBI6I4,spotify:track:3HH5xuxWEKrEIRwWrBI6I4,https://api.spotify.com/v1/tracks/3HH5xuxWEKrEIRwWrBI6I4,https://api.spotify.com/v1/audio-analysis/3HH5xuxWEKrEIRwWrBI6I4,208158,4
Mangli,Bullet,0.482,0.88,10,-4.716,0,0.134,0.354,3.42e-05,0.103,0.898,195.05,audio_features,1xKzEU01wRyVEHhJvXPTP5,spotify:track:1xKzEU01wRyVEHhJvXPTP5,https://api.spotify.com/v1/tracks/1xKzEU01wRyVEHhJvXPTP5,https://api.spotify.com/v1/audio-analysis/1xKzEU01wRyVEHhJvXPTP5,206769,3
Sweekar Agasthi,Hulala,0.751,0.8,3,-4.989,0,0.0395,0.329,1.88e-06,0.303,0.585,128.001,audio_features,5gqJBYwrpYcFtQ2TW8sokT,spotify:track:5gqJBYwrpYcFtQ2TW8sokT,https://api.spotify.com/v1/tracks/5gqJBYwrpYcFtQ2TW8sokT,https://api.spotify.com/v1/audio-analysis/5gqJBYwrpYcFtQ2TW8sokT,223253,4
Baba Sehgal,Light Theesko,0.786,0.914,7,-4.243,1,0.116,0.164,0.000678,0.356,0.852,135.987,audio_features,6WUHTxhrhP7HzcbPxkYmsh,spotify:track:6WUHTxhrhP7HzcbPxkYmsh,https://api.spotify.com/v1/tracks/6WUHTxhrhP7HzcbPxkYmsh,https://api.spotify.com/v1/audio-analysis/6WUHTxhrhP7HzcbPxkYmsh,265071,4
Mani Sharma,"Bombhaat - From ""LIE""",0.836,0.822,1,-4.745,1,0.172,0.235,0,0.123,0.322,97.024,audio_features,3dpG9UvGYjcQX7SPiLYSW7,spotify:track:3dpG9UvGYjcQX7SPiLYSW7,https://api.spotify.com/v1/tracks/3dpG9UvGYjcQX7SPiLYSW7,https://api.spotify.com/v1/audio-analysis/3dpG9UvGYjcQX7SPiLYSW7,243711,4
Nakash Aziz,Ratthaalu,0.824,0.935,7,-3.633,1,0.0974,0.248,0.0829,0.0969,0.937,138.989,audio_features,49bXxI5G1fTOuVRr56s5fr,spotify:track:49bXxI5G1fTOuVRr56s5fr,https://api.spotify.com/v1/tracks/49bXxI5G1fTOuVRr56s5fr,https://api.spotify.com/v1/audio-analysis/49bXxI5G1fTOuVRr56s5fr,262240,4
Narendra,Colorful Chilaka,0.799,0.822,4,-5.9,0,0.0951,0.694,9.06e-05,0.049,0.963,96.002,audio_features,6Tve6cDltGAxo5dqWxIF9y,spotify:track:6Tve6cDltGAxo5dqWxIF9y,https://api.spotify.com/v1/tracks/6Tve6cDltGAxo5dqWxIF9y,https://api.spotify.com/v1/audio-analysis/6Tve6cDltGAxo5dqWxIF9y,228760,4
Geetha Madhuri,Door Number Okati,0.59,0.843,11,-6.614,0,0.296,0.317,0.00167,0.203,0.617,80.991,audio_features,4yNJ3anRH1rMJzcDDTlOOk,spotify:track:4yNJ3anRH1rMJzcDDTlOOk,https://api.spotify.com/v1/tracks/4yNJ3anRH1rMJzcDDTlOOk,https://api.spotify.com/v1/audio-analysis/4yNJ3anRH1rMJzcDDTlOOk,243043,4
